sep=;
valueInCurrency;valueToReimburse;VatAvgRate;currency;dayInvoice;hourInvoice;dayCreation;hourCreation;Name_EN;merchantCountry;merchantCity;hasPhoto;MerchantName;Source;validated
15,5;13;9,2;EUR;Wednesday;11;Monday;1;Repas midi province;FR;Tour de plaine;false;Le Coq Noir Traiteur;13;0
42,32;42,32;null;EUR;Tuesday;10;Tuesday;7;Mileage expense;FR;LYON;false;null;null;0
1,72;1,72;null;EUR;Tuesday;10;Sunday;19;Mileage expense;FR;Lyon;true;null;11;0
28;28;20;EUR;Tuesday;23;Wednesday;15;Parking;FR;null;false;null;11;0
102,94;102,94;null;KRW;Tuesday;3;Tuesday;6;38 Office supplies;KR;null;false;null;11;0
44,28;44,28;20;EUR;Wednesday;10;Wednesday;10;Achats Marchandises;FR;null;false;null;11;0
56,75;56,75;null;EUR;Wednesday;10;Wednesday;9;Mileage expense;FR;Montpellier, France;true;null;11;0
210;210;null;CHF;Wednesday;12;Thursday;8;Meal;CH;GenÃ¨ve;true;Son Genie Brunschwig;13;0
19,5;19,5;10;EUR;Thursday;0;Monday;5;Meals;FR;Lyon;false;Le Baron;13;0
6,9;6,9;20;EUR;Friday;11;Friday;10;Toll & Parking;FR;null;false;null;11;0
16,1;10;10;EUR;Monday;10;Monday;13;Repas Midi RÃ©gion d'Affectation;FR;Puteaux;false;Lenovo;13;0
219,4;200;10,5;EUR;Wednesday;17;Friday;18;NuitÃ©e Bordeaux;FR;Bordeaux;false;Meretgolf;13;0
20;20;null;EUR;Wednesday;13;Wednesday;13;Autres frais avec justificatif;FR;null;false;null;13;0
26,37;26,37;null;CNY;Monday;6;Friday;0;16 Meal;CN;;false;Iris;13;0
150;150;20;EUR;Friday;0;Monday;14;05 ENTRETIEN VEHICULE FONCTION;FR;Mougins;false;Terminal Audi Mougins;12;0
34,97;34,97;null;EUR;Thursday;7;Tuesday;15;Taxi;FR;Arras;true;Boulanger;12;0
73,45;73,45;3,853;EUR;Tuesday;12;Tuesday;16;Invitations clients/fournisseurs;FR;null;true;L'avenue;11;0
19,5;19,5;null;EUR;Tuesday;11;Thursday;11;Lunch Province;FR;null;false;null;11;0
20;19,4;12,7;EUR;Thursday;20;Sunday;10;Meals (mission);FR;null;false;null;13;0
25;25;10;EUR;Thursday;12;Thursday;12;ConvivialitÃ©;FR;Grenade;false;Aux Trois Petits Cochons;12;0
14,21;14,21;null;EUR;Friday;7;Monday;7;Transportation;FR;;false;;13;0
37;37;null;EUR;Friday;12;Friday;16;PÃ©age;FR;;false;;12;0
66;66;20;EUR;Tuesday;11;Tuesday;8;PP - PÃ©age/parking pour remboursement (sans carte TOTAL ou autre);FR;null;false;null;11;0
3,5;3,5;null;EUR;Wednesday;10;Thursday;6;PP - PÃ©age/parking pour remboursement (sans carte TOTAL ou autre);FR;null;false;null;11;0
8,05;8,05;null;EUR;Tuesday;11;Tuesday;17;REPAS MIDI GROUPE;FR;null;false;null;11;0
30,35;30,35;11,8;EUR;Thursday;10;Monday;10;Meals;FR;null;false;null;11;0
11,4;11,4;null;EUR;Wednesday;10;Friday;10;Toll;FR;null;false;null;11;0
83,5;83,5;null;EUR;Wednesday;11;Wednesday;13;Mileage expense;FR;Louhans;false;null;11;0
79;79;null;EUR;Thursday;12;Friday;12;Parking;FR;;false;;13;0
96,8;96,8;5;EUR;Tuesday;12;Tuesday;20;Public Transportation;DE;;false;Deutsche Bahn;13;0
202,75;202,75;20;EUR;Monday;15;Monday;12;DIVERSE - RECEPTION;FR;CompiÃ¨gne;false;Adresse De Livraison Adresse De Facturation;13;0
32,9;32,9;null;EUR;Thursday;11;Thursday;10;Lunch Province with guests;FR;Kingersheim;false;Poulaillon;13;0
456,6;21,7;null;EUR;Saturday;11;Saturday;13;Repas Province midi;FR;null;false;null;11;0
58,45;58,45;21;EUR;Tuesday;22;Wednesday;11;Misc;ES;Alcobendas;true;Solred;12;0
121,8;121,8;null;EUR;Wednesday;12;Wednesday;13;Meals;FR;;false;le bouchon;12;0
6,57;6,57;null;EUR;Tuesday;15;Friday;15;Frais kilomÃ©triques;FR;Pessac;true;null;13;0
90;90;20;EUR;Monday;11;Tuesday;10;Miscellaneous expenses;FR;null;false;null;11;0
12,5;12,5;10;EUR;Sunday;11;Wednesday;11;DEJEUNER;FR;Soyaux;false;Bar Du MarchÃ©;12;0
95,88;95,88;null;EUR;Monday;11;Tuesday;8;Mileage expense;FR;Mulhouse;true;null;11;0
9,2;9,2;null;EUR;Friday;11;Friday;7;Toll;FR;null;false;null;11;0
10,4;10,4;null;EUR;Wednesday;10;Thursday;14;Taxi;FR;Le mÃªle sur Sarthe;false;Credit Mutuel;12;0
160,3;160,3;20;EUR;Monday;15;Monday;17;Toll;FR;Salon De Provence;true;Vinci Autoroutes;13;0
91;91;null;CHF;Friday;11;Thursday;10;Traveling expenses;CH;null;false;null;11;0
600;600;null;EUR;Friday;11;Friday;14;Flight;FR;null;false;null;11;0
126,99;126,99;1,2;EUR;Thursday;10;Monday;12;Other Facture restaurant;FR;Paris;false;Mme Camara Fatoumata Vyv 3;11;0
20,8;20,8;null;EUR;Thursday;10;Wednesday;20;Individual Meal;FR;Lyon;false;Sas Concessions Gares;12;0
85,73;85,73;null;EUR;Wednesday;12;Thursday;10;Individual Meal;FR;;false;Boulangerie;13;0
30;30;null;EUR;Friday;10;Monday;8;3- Taxi;FR;null;false;null;11;0
27,9;27,9;null;EUR;Thursday;11;Tuesday;14;Diner Province;FR;null;false;null;11;0
100;100;10;EUR;Wednesday;10;Tuesday;10;Petites fournitures (cafÃ© clients, dÃ©co...) hors Ã©lectromÃ©nager;FR;lanester;false;la roseraie d'antan;11;0
11,99;11,99;5,5;EUR;Sunday;1;Tuesday;19;Abonnement lightroom;FR;;false;Adobe;12;0
50;50;null;EUR;Thursday;17;Friday;6;Train;FR;Nantes;true;Le Nantes;13;0
56;56;20;EUR;Friday;10;Friday;9;Meals;FR;null;false;null;11;0
12,7;12,7;null;EUR;Monday;9;Friday;10;Repas seul Midi Province;FR;null;false;null;12;0
16;16;null;EUR;Wednesday;13;Wednesday;8;Repas seul Midi Province;FR;null;false;null;12;0
19;19;null;EUR;Sunday;10;Monday;12;RM - Forfait DÃ©jeuner;FR;null;false;null;11;0
19;19;null;EUR;Tuesday;11;Monday;5;RM - Forfait DÃ©jeuner;FR;null;false;null;11;0
19,4;19,4;null;EUR;Monday;10;Friday;15;RM - Forfait DÃ©jeuner;FR;null;false;null;11;0
19,1;19,1;null;EUR;Monday;10;Thursday;19;RM - Forfait DÃ©jeuner;FR;null;false;null;11;0
3,1;3,1;null;EUR;Wednesday;11;Wednesday;8;PÃ©age;FR;null;false;null;11;0
2,3;2,3;null;EUR;Wednesday;7;Friday;13;PÃ©age;FR;null;false;null;13;0
12,4;12,4;null;EUR;Tuesday;10;Thursday;10;PÃ©age;FR;null;false;null;11;0
228,14;228,14;null;EUR;Tuesday;0;Tuesday;9;Mileage expense;DE;Berlin;true;null;12;0
11,5;11,5;10;EUR;Thursday;12;Monday;6;DINER ETAM AND EXECUTIVES;FR;;false;Chez Cousin;12;0
108,94;108,94;null;EUR;Saturday;0;Saturday;18;Mileage expense;FR;Niergnies;true;null;12;0
3000;3000;null;EUR;Saturday;5;Friday;12;HE - Hotel nuit + petit dÃ©jeuner Ã  l'Etranger avec justificatif;FR;null;false;null;11;0
173,6;173,6;null;EUR;Wednesday;11;Wednesday;16;IT SUPPLIES;FR;null;false;null;11;0
8,62;8,62;null;EUR;Thursday;11;Wednesday;11;Mileage expense;FR;Grenoble;true;null;11;0
4,83;4,83;null;EUR;Thursday;11;Tuesday;10;Stamps;FR;null;true;null;11;0
52,24;52,24;20;EUR;Saturday;14;Saturday;14;Office supply purchase - Paper;FR;null;false;null;12;0
22;11;null;EUR;Thursday;0;Tuesday;15;Internet;FR;Paris;true;Sfr;13;0
54,56;54,56;null;EUR;Friday;10;Friday;8;Mileage expense;FR;La Selle-en-LuitrÃ©;true;null;11;0
4;4;null;EUR;Wednesday;12;Wednesday;10;SNCF METRO;FR;;false;;12;0
47,3;47,3;1,532;EUR;Wednesday;11;Tuesday;20;Invitation;FR;Boulogne Billancourt;false;Angelo;0;0
30;30;null;EUR;Tuesday;12;Friday;12;Plus Nocturnidad 1;ES;REUS;false;null;12;0
30,9;30,9;10;EUR;Tuesday;16;Friday;7;Misc;FR;Mende;false;Rapid'flore;11;0
12;12;20;EUR;Friday;11;Thursday;10;73 Delivery costs;FR;null;false;null;11;0
91,45;91,45;null;EUR;Wednesday;23;Friday;7;HÃ´tel  RÃ©gion d'Affectation;FR;Francois;false;Ibis;11;0
11,2;11,2;null;EUR;Saturday;10;Saturday;8;Misc;FR;null;false;null;11;0
7,8;7,8;20;EUR;Thursday;10;Thursday;12;Highway (Toll, stickers);FR;null;false;null;11;0
66,2;66,2;14,3;EUR;Friday;12;Friday;10;Lunch;FR;GÃ©menos;false;Le Terrasse;12;0
17;17;10;EUR;Tuesday;11;Thursday;23;Meals;FR;;false;;11;0
250;250;null;EUR;Monday;13;Tuesday;15;LODGING - PROVINCE BIS;FR;;false;;11;0
4,5;4,5;10;EUR;Monday;8;Thursday;14;Miscellaneous - Training;FR;;false;Le Dorian;13;0
3,5;3,5;null;EUR;Friday;12;Friday;8;Meals;ES;Sabadell;false;Sabadell;12;0
902,4;451,2;null;EUR;Friday;10;Tuesday;20;Public transport subscription;FR;null;false;null;11;0
312;312;null;EUR;Wednesday;10;Wednesday;15;Train;FR;null;false;null;11;0
89,85;89,85;5,5;EUR;Monday;7;Monday;8;Office supplies;FR;Narbonne;false;Cultura;13;0
25;25;10;EUR;Wednesday;10;Saturday;7;Dinner / Province;FR;null;false;null;11;0
4,8;4,8;5,5;EUR;Friday;17;Tuesday;13;Repas soir Paris et grandes villes;FR;null;false;ice cream;11;0
127,04;127,04;null;EUR;Friday;21;Friday;21;Mileage expense;FR;Pirey;true;null;13;0
8;8;null;EUR;Friday;11;Monday;16;Meals for Natixis PARIS employees taken in Paris and IDF;FR;null;false;null;11;0
18,9;18,9;null;EUR;Friday;0;Wednesday;10;Metro tickets / bus;FR;null;false;null;11;0
30;30;null;EUR;Thursday;3;Saturday;10;Plane, Train, Taxi, Bus, metro, tramâ€¦;ES;null;false;VuelingÂ® Boarding Pass;11;0
69,06;69,06;null;EUR;Wednesday;10;Friday;12;Mileage;FR;Saint-Ã‰tienne;true;null;11;0
7,8;7,8;null;EUR;Thursday;11;Sunday;10;Taxi;ES;Madrid;false;Taxi del APC De Madrid;12;0
6,85;6,85;0,536;EUR;Friday;12;Friday;12;Meals IDF;FR;Chilly Mazarin;false;Bar De France;13;0
7,66;7,66;null;EUR;Thursday;7;Saturday;7;Mileage expense;FR;;true;null;13;0
3;3;23;EUR;Friday;12;Monday;23;Tools;PT;;true;;12;0
165,16;165,16;10;EUR;Tuesday;16;Wednesday;15;Car mantenance;ES;Madrid;true;Movilnorte;13;0
80;80;null;EUR;Wednesday;13;Thursday;18;Frais de rÃ©ception;FR;Mathieu;false;;12;0
378;378;null;EUR;Friday;13;Thursday;14;Equipment;FR;Laxou;false;Rno Bymy) Car Nancy Renault;13;0
1129,99;1129,99;20;EUR;Friday;12;Thursday;11;Equipment;FR;Paris;false;Fnac;0;0
115,01;115,01;0;EUR;Wednesday;10;Wednesday;18;HÃ´tel  RÃ©gion d'Affectation;FR;Paris;false;Egencia France;13;0
9,89;9,89;null;EUR;Thursday;12;Monday;8;Meals Province;FR;null;false;null;12;0
287,41;287,41;null;EUR;Wednesday;13;Wednesday;13;Mileage expense;FR;Cognac;false;null;null;0
16,4;13;null;EUR;Monday;14;Tuesday;14;Meals (flat);FR;;true;La Renaissance;null;0
15;15;10;EUR;Tuesday;20;Thursday;16;Meals (flat);FR;Strasbourg;false;Chez Palu;13;0
40,8;40,8;null;EUR;Tuesday;12;Monday;13;Misc;DE;null;false;null;11;0
5,5;5,5;null;EUR;Friday;6;Sunday;16;Car maintenance;FR;les rues des vignes;false;Boulangerie Savreux;12;0
21,22;21,22;null;EUR;Thursday;10;Wednesday;9;Mileage expense;ES;Valladolid;true;null;11;0
